pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,A1_weighted,A2_weighted,A3_weighted,A4_weighted,perturbation_score,rank
EGFR_170-200_PKT04,EGFR_170-200,97806,uncertain_mechanism_candidate,low,0.253,0.1607,0.295,0.65,0.0759,0.0402,0.0885,0.0975,0.2668,110
EGFR_170-200_PKT04,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1607,0.305,0.65,0.0759,0.0402,0.0915,0.0975,0.2668,111
EGFR_170-200_PKT05,EGFR_170-200,173940,uncertain_mechanism_candidate,low,0.253,0.1565,0.475,0.65,0.0759,0.0391,0.1425,0.0975,0.2668,112
EGFR_170-200_PKT05,EGFR_170-200,97806,uncertain_mechanism_candidate,low,0.253,0.1565,0.475,0.65,0.0759,0.0391,0.1425,0.0975,0.2668,113
EGFR_170-200_PKT05,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1565,0.475,0.65,0.0759,0.0391,0.1425,0.0975,0.2668,114
EGFR_170-200_PKT15,EGFR_170-200,173940,uncertain_mechanism_candidate,low,0.253,0.1343,0.475,0.65,0.0759,0.0336,0.1425,0.0975,0.2668,115
EGFR_170-200_PKT15,EGFR_170-200,97806,uncertain_mechanism_candidate,low,0.253,0.1343,0.475,0.65,0.0759,0.0336,0.1425,0.0975,0.2668,116
EGFR_170-200_PKT15,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1343,0.475,0.65,0.0759,0.0336,0.1425,0.0975,0.2668,117
EGFR_170-200_PKT25,EGFR_170-200,173940,uncertain_mechanism_candidate,low,0.253,0.1163,0.475,0.65,0.0759,0.0291,0.1425,0.0975,0.2668,118
EGFR_170-200_PKT25,EGFR_170-200,97806,uncertain_mechanism_candidate,low,0.253,0.1163,0.475,0.65,0.0759,0.0291,0.1425,0.0975,0.2668,119
