rank,pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,perturbation_score,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,hotspot_overlap_fraction,overall_druggability_tier,ligand_support_strength,pose_support_count,best_affinity_kcal,state_class,n_states_matched,classification_basis
79,EGFR_160-185_PKT03,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.1802,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
80,EGFR_160-185_PKT03,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.1802,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
81,EGFR_160-185_PKT03,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.2668,0.253,0.1802,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
82,EGFR_160-185_PKT04,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.1673,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
83,EGFR_160-185_PKT04,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.1673,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
84,EGFR_160-185_PKT04,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.2668,0.253,0.1673,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
85,EGFR_160-185_PKT05,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.161,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
86,EGFR_160-185_PKT05,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.161,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
87,EGFR_160-185_PKT05,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.2668,0.253,0.161,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
88,EGFR_160-185_PKT11,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.1439,0.395,0.65,allosteric_candidate,0,0.000,tier_3,moderate,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
89,EGFR_160-185_PKT11,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.1439,0.395,0.65,allosteric_candidate,0,0.000,tier_3,moderate,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
90,EGFR_160-185_PKT11,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.2668,0.253,0.1439,0.395,0.65,allosteric_candidate,0,0.000,tier_3,moderate,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
91,EGFR_160-185_PKT13,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.1421,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
92,EGFR_160-185_PKT13,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.1421,0.385,0.65,allosteric_candidate,0,0.000,tier_3,moderate,4,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
93,EGFR_160-185_PKT13,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.2668,0.253,0.1421,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
94,EGFR_160-185_PKT19,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.1352,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
95,EGFR_160-185_PKT19,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.1352,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
96,EGFR_160-185_PKT19,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.2668,0.253,0.1352,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
97,EGFR_160-185_PKT30,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.1139,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
98,EGFR_160-185_PKT30,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.1139,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
99,EGFR_160-185_PKT30,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.2668,0.253,0.1139,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
100,EGFR_160-185_PKT37,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.2668,0.253,0.1043,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
101,EGFR_160-185_PKT37,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.2668,0.253,0.1043,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,5,,state_shifted_pocket,3,rel=allosteric_candidate; overlap=0; tier=tier_3
